,Chla_corr_ug.L,Pheophytin_a_ug.L,Phosphorus_mg.L,Secchi_Depth_cm,Turbidity_NTU,Conductivity_uS.cm,DO_mg.L,pH,Temperature_degC,NOx_mg.L,Lake_Area_mi2,Watershed_Area_km2,%_Open_Water,%_Developed,%_Barren_Land,%_Forest,%_Grassland_Shrub,%_Agriculture,%_Wetland,Mean_Annual_Precip_cm
Hefner,29.325,6.0475,0.0945,105.5,5.7525,1255.9,10.66,8.42,16.892,0.1,3.861,24,40.29,55.75,0.03,0.84,2.78,0.24,0.07,84.2
Henryetta,3.505,3.645,0.127,17.6,91.64,71.7,7.856,7.332,20.2582,0.1975,0.819,53,4.1,3.94,0,44.09,19.12,28.57,0.16,105.4
Heyburn,10.11333333,7.513333333,0.053,30.33333333,47.13333333,205.4,5.236666667,7.343333333,27.02533333,0.12,1.469,312,1.03,3.84,0.03,61.54,28.1,5.39,0.07,94.6
Hominy,5.8625,2.323333333,0.01675,144.6666667,6.75,244.4,8.9675,7.905,16.75,0.195,0.258,5,1.71,4.11,0,10.66,79.5,3.96,0.07,93.7
Hudson-Mayes_cty,14.48857143,6.537142857,0.115142857,89.71428571,10.03285714,230.1,9.231428571,7.87,16.45114286,0.504285714,18.75,945,5.31,5.63,0.29,39,2.64,46.82,0.31,109.2
Hulah,12.318,9.02,0.0764,25.28571429,49.7,241.6,9.973333333,8.048333333,15.918,0.1275,5.578,82,6.44,3.21,0.05,20.9,48.95,20.05,0.41,93
Humphreys,20.275,5.44,0.039,93.125,7.6425,547.8,9.125714286,8.194285714,19.45071429,0.128,1.313,83,4.16,8.96,0.02,18.41,62.49,5.75,0.22,86.4
Kaw,28.0975,7.285,0.16025,86.5,8.8875,1085.05,10.2,8.135,17.68975,0.536666667,26.56,531,7.01,3.6,0.15,8,48.26,26.22,6.74,88
Keystone,9.345,5.838333333,0.2245,53.5,53.82333333,918.6,7.293333333,7.811666667,18.38033333,0.621666667,40.63,754,9.47,5.73,0.02,42.85,37.99,3.6,0.33,94.5
Konawa,18,6.824,0.0528,95,5.88,523.55,8.888,8.316,21.3672,0.06,2.109,695,2.81,4.41,0.59,53.29,26.3,12.48,0.13,100.2
Lawtonka,24.8325,6.9825,0.03075,96.75,7.475,266.4666667,8.685,7.845,19.0665,0.1,3.633,241,3.82,2.28,0,16.59,75.16,2.04,0.11,77.4
Lloyd Church,6.99,6.215,0.028,89.5,12.4,38,9.61,7.21,18.009,0.06,0.241,11,5.46,0.36,0.04,90.77,3.17,0.14,0.05,115.6
McAlester,7.9875,4.7875,0.131,23,78.675,107.4,8.93,7.3075,17.9695,0.19,2.377,81,7.2,3.95,0.02,41.43,24.98,21.98,0.44,106.4
McGee Creek,4.1725,3.7975,0.01775,112,8.3025,63.8,8.8325,7.1125,17.3805,0.163333333,1471,459,3.36,1.28,0.01,77.53,8.98,7.89,0.95,112.2
McMurtry,6.661428571,3.508333333,0.022142857,90.66666667,10.8,282.7666667,10.27,8.24,14.77266667,0.096666667,1.805,65,7.35,4.17,0,26.76,57.33,4.21,0.18,84.8
Meeker,4.706666667,6.75,0.091,20,103.3333333,137.2666667,9.913333333,7.683333333,11.027,0.235,0.391,30,3.36,4.79,0,22.41,62.27,7.11,0.06,91.7
Mountain,5.37,2.756666667,0.02,128,6.273333333,263.4,8.01,8.023333333,20.982,0.14,0.398,32,2.07,0.06,0,7.42,90.22,0,0.22,90.8
New Spiro,40,18.775,0.1175,55,13.3,110.6,8.7425,7.1975,18.222,0.35,0.397,36,2.91,7.74,0.01,17.44,2.32,67.96,1.63,110.7
Okemah,10.16,3.36,0.02775,76.5,11.825,137.85,8.535,7.555,19.35875,0.13,1.061,53,5.44,3.42,0,44.59,27.83,18.68,0.03,100.5
Okmulgee,6.736666667,3.873333333,0.024,78.33333333,9,76.65,8.426666667,7.31,18.82566667,0.085,1.044,101,6.34,3.04,0,51.12,26.17,13.12,0.21,102
Oologah,3.795714286,3.35,0.083142857,77.57142857,12.59,256.35,8.982142857,7.865714286,17.57428571,0.338,45.31,11096,2.18,4.1,0.1,14.62,34.88,43.62,0.49,96.6
Overholser,44.05,13.1225,0.191,38.75,33.725,760.525,9.577142857,8.508571429,14.27642857,0.07,2.344,599,2.11,27.42,0.08,4.36,30.66,35.21,0.15,82.8
Pauls Valley,6.91,3.5325,0.04675,46.75,27.59,260.9,8.6125,7.9725,17.53825,0.15,1.172,55,4.79,4.17,0,23.63,56.49,10.62,0.29,90.6
Pine Creek,14.53666667,4.956666667,0.033666667,69.66666667,10.33333333,29.9,8.153333333,7.19,22.359,0.08,5.859,1638,1.29,2.89,0.01,72.26,20.13,2.74,0.68,127.6
Ponca,26.3175,4.86,0.03775,99.25,5.815,328.85,9.4775,8.02,21.70075,0.23,1.094,76,4.61,8.98,0.05,3.36,45.6,33.91,3.49,86.6
Raymond Gary,9.683333333,8.13,0.044333333,49.66666667,16.33333333,89.86666667,6.446666667,7.006666667,16.618,0.093333333,0.411,146,0.91,3.08,0.02,59.65,14.73,17.72,3.89,119.3
RC Longmire,14.74125,5.26,0.040875,63.125,11.41875,236.225,9.495,8.14625,19.087875,0.34,1.461,74,5.4,3.17,0,27.3,53.59,10.46,0.06,94
Sardis,7.6175,3.925,0.03,69.5,16.55,39.33333333,8.47,7.1725,18.65075,0.06,22.44,714,7.77,1.86,0.03,70.03,5.79,13.27,1.26,122
Shawnee Twin #1,6.5625,4.8275,0.01675,81.75,12,180,9.705,8.115,16.6275,0.14,2.031,85,9.64,9.68,0.02,40.47,36.99,2.99,0.21,91.3
Shawnee Twin #2,12.2675,4.225,0.017,84.25,8.25,176.1333333,9.915,8.2225,16.673,0.075,1.719,29,9.48,9.7,0,40.53,36.62,3.28,0.39,91.2
Shell,14.33333333,8.5,0.027,89.66666667,8.63,193.7,8.25,8.046666667,21.706,0.16,0.895,529,5.24,44.15,0.27,32.67,6.19,11.31,0.18,97.4
Spavinaw,20.0325,7.525,0.03575,108.625,7.19375,166.075,9.805,8.21,18.90375,0.493333333,2.419,999,1.75,5.63,0.1,49.34,3.63,39.39,0.16,113.4
Sportsman,3.103333333,5.05,0.025,64,16.43333333,174.5,9.453333333,7.4,14.34966667,0.076666667,0.553,32,4.44,4.38,0.01,65.92,21.21,3.92,0.11,99.6
Stroud,5.5775,3.638571429,0.018625,83.75,11.0625,167.475,8.87125,7.8325,18.81725,0.12,0.97,42,6.1,3.48,0,36.16,45.11,9.06,0.09,93.3
Taylor,44.56666667,16.83,0.11575,55.75,11.425,437.75,10.1875,8.515,19.1375,0.14,0.355,56,1.71,9.11,0,11.81,72.54,4.8,0.02,84.7
Tecumseh,7.776666667,10.71333333,0.067666667,25.66666667,60.96666667,281.3,8.456666667,7.636666667,19.045,0.19,0.198,13,4.68,7.37,0.06,28.93,44.07,14.72,0.18,91.9
Texoma,15.28,2.766,0.0352,134.2,4.2,1769.9,9.102,8.124,20.4446,0.11,139.1,649,14.02,6.39,0.04,27.79,35.58,15.43,0.75,100.2
Thunderbird,14.245,3.3925,0.0305,91.75,6.54,400.7,9.8325,8.3175,17.93125,0.275,8.358,668,5.27,20.11,0.04,37.83,32.82,3.82,0.1,89.1
Tom Steed,13.155,3.6475,0.069,60.75,15.4,1177.5,9.9275,8.3275,15.96575,0.19,10,328,8.06,3.97,0.01,4.22,34,49.29,0.46,70.7
Waurika,7.2775,2.493333333,0.10775,92.75,9.235,615.7,10.0375,8.3875,15.341,0.083333333,15.62,1462,3.29,4.78,0.01,7.74,67.65,16.43,0.1,81.8
Waxhoma,5.513333333,5.653333333,0.029,106,15.59333333,68.73333333,9.723333333,7.616666667,12.73133333,0.13,0.308,31,2.1,5.01,0,27.1,61.39,4.3,0.08,96.3
Webbers Falls,16.92,7.39,0.2065,34.5,40.5,507.3,9.985,7.845,15.665,0.655,18.13,1018,5.34,10.16,0.13,41.43,8.68,32.43,1.84,108.6
Wes Watkins,28,6.056666667,0.038666667,58,28,212.9,9.386666667,8.2,19.126,0.34,1.784,100,4.21,14.67,0.06,38.42,37.36,5.17,0.11,90.7
Wetumka,11.19333333,4.84,0.045,60,19.66666667,83.53333333,9.916666667,7.453333333,14.75133333,0.07,0.264,11,7.07,4.21,0,60.43,16.93,11.35,0.01,104.2
Wiley Post,9.9425,6.33,0.1395,27.25,47.35,368.3,8.345,8.0425,17.03575,0.17,0.472,33,4.57,5.38,0,11.65,57.13,21.08,0.19,90.2
Wister,23.13333333,15.20333333,0.074333333,39.66666667,26.36666667,103.8,8.706666667,7.15,17.831,0.14,11.406,2580,1.59,3.7,0.08,73.53,4.36,15.22,1.53,125.9
